Code,License Type,Indicator Name,Short definition,Long definition,Source,Topic,Unit of measure,Periodicity,Base Period,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,Notes from original source,Related source links,Related indicators,License URL
"Personal transfers," a new item in the Balance of Payments (BPM6) represents a broader definition of worker remittances. Personal transfers include all current transfers in cash or in kind between resident and nonresident individuals, independent of the source of income of the sender (irrespective of whether the sender receives income from labor, entrepreneurial or property income, social benefits, and any other types of transfers; or disposes assets) and the relationship between the households (irrespective of whether they are related or unrelated individuals).

Compensation of employees refers to the income of border, seasonal, and other short-term workers who are employed in an economy where they are not resident and of residents employed by nonresident entities. Compensation of employees represents remuneration in return for the labor input to the production process contributed by an individual in an employer-employee relationship with the enterprise. Compensation of employees is recorded gross and includes amounts paid by the employee as taxes or for other purposes in the economy where the work is performed. Compensation of employees has three main components: wages and salaries in cash, wages and salaries in kind, and employers' social contributions.","Movement of people, most often through migration, is a significant part of global integration. Migrants contribute to the economies of both their host country and their country of origin. Yet reliable statistics on migration are difficult to collect and are often incomplete, making international comparisons a challenge.

In most developed countries, refugees are admitted for resettlement and are routinely included in population counts by censuses or population registers. Globally, the number of refugees at end 2010 was 10.55 million, including 597,300 people considered by the United Nations High Commissioner for Refugees (UNHCR) to be in a refugee-like situation; developing countries hosted 8.5 million refugees, or 80 percent of the global refugee population.

Global migration patterns have become increasingly complex in modern times, involving not just refugees, but also millions of economic migrants. But refugees and migrants, even if they often travel in the same way, are fundamentally different, and for that reason are treated very differently under modern international law. Migrants, especially economic migrants, choose to move in order to improve the future prospects of themselves and their families. Refugees have to move if they are to save their lives or preserve their freedom. They have no protection from their own state - indeed it is often their own government that is threatening to persecute them. If other countries do not let them in, and do not help them once they are in, then they may be condemning them to death - or to an intolerable life in the shadows, without sustenance and without rights.","Remittance transactions have grown in importance over the past decade. In a number of developing economies, receipts of remittances have become an important and stable source of funds that exceeds receipts from exports of goods and services or from financial inflows on foreign direct investment. But the quality of statistical remittance data is not high. Remittances are a challenge to measure because of their nature. They are heterogeneous with numerous small transactions conducted by individuals through a wide variety of channels: formal channels, such as electronic wire, or through informal channels, such as cash or goods carried across borders. The large number of remittance transactions and the multitude of channels pose challenges to the compilation of comprehensive statistics. The small size of individual transactions means that they often go undetected by typical data source systems, although the aggregate level of transactions may be substantial.

Because of difficulties in obtaining data on informal remittance transactions, the remittance transactions undertaken through informal channels are sometimes not well covered in current balance of payments data. As a result, even though direct measurement of remittances - through transactions reporting or surveys - may be considered preferable if feasible, some countries instead combine different sources and estimation methods to achieve better coverage, by using direct measurements where practical and supplemented estimates where they are not. Model-based approaches are used in some countries as they are flexible. Compilers can design models to fill gaps in data sources or to provide global totals.

However, only reliable input data can lead to sound estimates, regardless of the sophistication of an estimation method or econometric model. Indirect data are converted to remittance estimates using a set of assumptions. These assumptions should be plausible, but it is often not possible to test or verify these assumptions and also the results in practice.",Note: Data starting from 2005 are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6).,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
BX.TRF.PWKR.DT.GD.ZS,CC BY-4.0,"Personal remittances, received (% of GDP)",,"Personal remittances comprise personal transfers and compensation of employees. Personal transfers consist of all current transfers in cash or in kind made or received by resident households to or from nonresident households. Personal transfers thus include all current transfers between resident and nonresident individuals. Compensation of employees refers to the income of border, seasonal, and other short-term workers who are employed in an economy where they are not resident and of residents employed by nonresident entities. Data are the sum of two items defined in the sixth edition of the IMF's Balance of Payments Manual: personal transfers and compensation of employees.","World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",Economic Policy & Debt: Balance of payments: Current account: Transfers,,Annual,,Weighted Average,,,,Note: Data starting from 2005 are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6).,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
BX.TRF.PWKR.CD.DT,CC BY-4.0,"Personal remittances, received (current US$)",,"Personal remittances comprise personal transfers and compensation of employees. Personal transfers consist of all current transfers in cash or in kind made or received by resident households to or from nonresident households. Personal transfers thus include all current transfers between resident and nonresident individuals. Compensation of employees refers to the income of border, seasonal, and other short-term workers who are employed in an economy where they are not resident and of residents employed by nonresident entities. Data are the sum of two items defined in the sixth edition of the IMF's Balance of Payments Manual: personal transfers and compensation of employees. Data are in current U.S. dollars.",World Bank staff estimates based on IMF balance of payments data.,Economic Policy & Debt: Balance of payments: Current account: Transfers,,Annual,,Sum,"The two main components of personal remittances, "personal transfers" and "compensation of employees", are items in the balance of payments (BPM6) framework. Both of these standard components are recorded in the current account. 
"Personal transfers", a new item in the Balance of Payments (BPM6) represents a broader definition of worker remittances. Personal transfers include all current transfers in cash or in kind between resident and nonresident individuals, independent of the source of income of the sender (irrespective of whether the sender receives income from labor, entrepreneurial or property income, social benefits, and any other types of transfers; or disposes assets) and the relationship between the households (irrespective of whether they are related or unrelated individuals).

Compensation of employees refers to the income of border, seasonal, and other short-term workers who are employed in an economy where they are not resident and of residents employed by nonresident entities. Compensation of employees represents remuneration in return for the labor input to the production process contributed by an individual in an employer-employee relationship with the enterprise. Compensation of employees is recorded gross and includes amounts paid by the employee as taxes or for other purposes in the economy where the work is performed. Compensation of employees has three main components: wages and salaries in cash, wages and salaries in kind, and employers' social contributions.","Movement of people, most often through migration, is a significant part of global integration. Migrants contribute to the economies of both their host country and their country of origin. Yet reliable statistics on migration are difficult to collect and are often incomplete, making international comparisons a challenge.

In most developed countries, refugees are admitted for resettlement and are routinely included in population counts by censuses or population registers. Globally, the number of refugees at end 2010 was 10.55 million, including 597,300 people considered by the United Nations High Commissioner for Refugees (UNHCR) to be in a refugee-like situation; developing countries hosted 8.5 million refugees, or 80 percent of the global refugee population.

Global migration patterns have become increasingly complex in modern times, involving not just refugees, but also millions of economic migrants. But refugees and migrants, even if they often travel in the same way, are fundamentally different, and for that reason are treated very differently under modern international law. Migrants, especially economic migrants, choose to move in order to improve the future prospects of themselves and their families. Refugees have to move if they are to save their lives or preserve their freedom. They have no protection from their own state - indeed it is often their own government that is threatening to persecute them. If other countries do not let them in, and do not help them once they are in, then they may be condemning them to death - or to an intolerable life in the shadows, without sustenance and without rights.","Remittance transactions have grown in importance over the past decade. In a number of developing economies, receipts of remittances have become an important and stable source of funds that exceeds receipts from exports of goods and services or from financial inflows on foreign direct investment. But the quality of statistical remittance data is not high. Remittances are a challenge to measure because of their nature. They are heterogeneous with numerous small transactions conducted by individuals through a wide variety of channels: formal channels, such as electronic wire, or through informal channels, such as cash or goods carried across borders. The large number of remittance transactions and the multitude of channels pose challenges to the compilation of comprehensive statistics. The small size of individual transactions means that they often go undetected by typical data source systems, although the aggregate level of transactions may be substantial.

Because of difficulties in obtaining data on informal remittance transactions, the remittance transactions undertaken through informal channels are sometimes not well covered in current balance of payments data. As a result, even though direct measurement of remittances - through transactions reporting or surveys - may be considered preferable if feasible, some countries instead combine different sources and estimation methods to achieve better coverage, by using direct measurements where practical and supplemented estimates where they are not. Model-based approaches are used in some countries as they are flexible. Compilers can design models to fill gaps in data sources or to provide global totals.

However, only reliable input data can lead to sound estimates, regardless of the sophistication of an estimation method or econometric model. Indirect data are converted to remittance estimates using a set of assumptions. These assumptions should be plausible, but it is often not possible to test or verify these assumptions and also the results in practice.",Note: Data starting from 2005 are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6).,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
EN.POP.DNST,CC BY-4.0,Population density (people per sq. km of land area),,"Population density is midyear population divided by land area in square kilometers. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship--except for refugees not permanently settled in the country of asylum, who are generally considered part of the population of their country of origin. Land area is a country's total area, excluding area under inland water bodies, national claims to continental shelf, and exclusive economic zones. In most cases the definition of inland water bodies includes major rivers and lakes.",Food and Agriculture Organization and World Bank population estimates.,Environment: Density & urbanization,,Annual,,Weighted Average,"Population density is midyear population divided by land area in square kilometers. This ratio can be calculated for any territorial unit for any point in time, depending on the source of the population data. Populationestimates are prepared by World Bank staff from variety of sources. They are based on the de facto definition of population and include all residents regardless of legal status or citizenship, within the physical boundaries of a country and under the jurisdiction of that country's political control. Refugees not permanently settled in the country of asylum are considered part of the population of their country of origin. Population numbers are either current census data or historical census data extrapolated through demographic methods. The count also excludes visitors from overseas.

Population density is calculated by dividing midyear population by land area in a country. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship - except for refugees not permanently settled in the country of asylum, who are generally considered part of the population of their country of origin. Land area is a country's total area, excluding area under inland water bodies, national claims to continental shelf, and exclusive economic zones. In most cases the definition of inland water bodies includes major rivers and lakes.","Population estimates are usually based on national population censuses. Estimates for the years before and after the census are interpolations or extrapolations based on demographic models. Errors and undercounting occur even in high-income countries; in developing countries errors may be substantial because of limits in the transport, communications, and other resources required conducting and analyzing a full census.

Population density is a measure of the intensity of land-use, and can be calculated for a block, city, county, state, country, continent or the entire world. Considering that over half of the Earth's land mass consists of areas inhospitable to human inhabitation, such as deserts and high mountains, and that population tends to cluster around seaports and fresh water sources, a simple number of population density by itself does not give any meaningful measurement of human population density.

Several of the most densely populated territories in the world are city-states, microstates, or dependencies.[6][7] These territories share a relatively small area and a high urbanization level, with an economically specialized city population drawing also on rural resources outside the area, illustrating the difference between high population density and overpopulation.","Current population estimates for developing countries that lack recent census data and pre- and post-census estimates for countries with census data are provided by the United Nations Population Division and other agencies. The cohort component method - a standard method for estimating and projecting population - requires fertility, mortality, and net migration data, often collected from sample surveys, which can be small or limited in coverage. Population estimates are from demographic modeling and so are susceptible to biases and errors from shortcomings in the model and in the data. Because the five-year age group is the cohort unit and five-year period data are used, interpolations to obtain annual data or single age structure may not reflect actual events or age composition.

The quality and reliability of official demographic data are also affected by public trust in the government, government commitment to full and accurate enumeration, confidentiality and protection against misuse of census data, and census agencies' independence from political influence. Moreover, comparability of population indicators is limited by differences in the concepts, definitions, collection procedures, and estimation methods used by national statistical agencies and other organizations that collect the data.",,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.POP.GROW,CC BY-4.0,Population growth (annual %),"Annual population growth rate. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","Annual population growth rate for year t is the exponential rate of growth of midyear population from year t-1 to t, expressed as a percentage . Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","Derived from total population. Population source: (1) United Nations Population Division. World Population Prospects: 2019 Revision, (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme.",Health: Population: Dynamics,,Annual,,Weighted average,"Total population growth rates are calculated on the assumption that rate of growth is constant between two points in time. The growth rate is computed using the exponential growth formula:

r = ln(pn/p0)/n, 

where r is the exponential rate of growth, ln() is the natural logarithm, pn is the end period population, p0 is the beginning period population, and n is the number of years in between. Note that this is not the geometric growth rate used to compute compound growth over discrete periods.

For information on total population from which the growth rates are calculated, see total population (SP.POP.TOTL).",,,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.POP.TOTL,CC BY-4.0,"Population, total",,"Total population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship. The values shown are midyear estimates.","(1) United Nations Population Division. World Population Prospects: 2019 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme.",Health: Population: Structure,,Annual,,Sum,"Population estimates are usually based on national population censuses. Estimates for the years before and after the census are interpolations or extrapolations based on demographic models.

Errors and undercounting occur even in high-income countries.  In developing countries errors may be substantial because of limits in the transport, communications, and other resources required to conduct and analyze a full census.

The quality and reliability of official demographic data are also affected by public trust in the government, government commitment to full and accurate enumeration, confidentiality and protection against misuse of census data, and census agencies' independence from political influence. Moreover, comparability of population indicators is limited by differences in the concepts, definitions, collection procedures, and estimation methods used by national statistical agencies and other organizations that collect the data.

The currentness of a census and the availability of complementary data from surveys or registration systems are objective ways to judge demographic data quality. Some European countries' registration systems offer complete information on population in the absence of a census.

The United Nations Statistics Division monitors the completeness of vital registration systems. Some developing countries have made progress over the last 60 years, but others still have deficiencies in civil registration systems.

International migration is the only other factor besides birth and death rates that directly determines a country's population growth. Estimating migration is difficult. At any time many people are located outside their home country as tourists, workers, or refugees or for other reasons. Standards for the duration and purpose of international moves that qualify as migration vary, and estimates require information on flows into and out of countries that is difficult to collect.

Population projections, starting from a base year are projected forward using assumptions of mortality, fertility, and migration by age and sex through 2050, based on the UN Population Division's World Population Prospects database medium variant.","Increases in human population, whether as a result of immigration or more births than deaths, can impact natural resources and social infrastructure.  This can place pressure on a country's sustainability.  A significant growth in population will negatively impact the availability of land for agricultural production, and will aggravate demand for food, energy, water, social services, and infrastructure. On the other hand, decreasing population size - a result of fewer births than deaths, and people moving out of a country - can impact a government's commitment to maintain services and infrastructure.","Current population estimates for developing countries that lack (i) reliable recent census data, and (ii) pre- and post-census estimates for countries with census data, are provided by the United Nations Population Division and other agencies. 

The cohort component method - a standard method for estimating and projecting population - requires fertility, mortality, and net migration data, often collected from sample surveys, which can be small or limited in coverage. Population estimates are from demographic modeling and so are susceptible to biases and errors from shortcomings in both the model and the data. In the UN estimates the five-year age group is the cohort unit and five-year period data are used; therefore interpolations to obtain annual data or single age structure may not reflect actual events or age composition.

Because future trends cannot be known with certainty, population projections have a wide range of uncertainty.",Relevance to gender indicator: disaggregating the population composition by gender will help a country in projecting its demand for social services on a gender basis.,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SI.POV.NAHC,CC BY-4.0,Poverty headcount ratio at national poverty lines (% of population),National poverty headcount ratio is the percentage of the population living below the national poverty line(s).,"National poverty headcount ratio is the percentage of the population living below the national poverty line(s). National estimates are based on population-weighted subgroup estimates from household surveys. For economies for which the data are from EU-SILC, the reported year is the income reference year, which is the year before the survey year.","World Bank, Poverty and Inequality Platform. Data are compiled from official government sources or are computed by World Bank staff using national (i.e. country–specific) poverty lines.",Poverty: Poverty rates,%,Annual,,,"Poverty headcount ratio among the population is measured based on national (i.e. country-specific) poverty lines. A country may have a unique national poverty line or separate poverty lines for rural and urban areas, or for different geographic areas to reflect differences in the cost of living or sometimes to reflect differences in diets and consumption baskets.

Poverty estimates at national poverty lines are computed from household survey data collected from nationally representative samples of households. These data must contain sufficiently detailed information to compute a comprehensive estimate of total household income or consumption (including consumption or income from own production), from which it is possible to construct a correctly weighted distribution of per capita consumption or income. 

National poverty lines are the benchmark for estimating poverty indicators that are consistent with the country's specific economic and social circumstances. National poverty lines reflect local perceptions of the level and composition of consumption or income needed to be non-poor. The perceived boundary between poor and non-poor typically rises with the average income of a country and thus does not provide a uniform measure for comparing poverty rates across countries. While poverty rates at national poverty lines should not be used for comparing poverty rates across countries, they are appropriate for guiding and monitoring the results of country-specific national poverty reduction strategies. 

Almost all national poverty lines in developing economies are anchored to the cost of a food bundle - based on the prevailing national diet of the poor - that provides adequate nutrition for good health and normal activity, plus an allowance for nonfood spending. National poverty lines must be adjusted for inflation between survey years to remain constant in real terms and thus allow for meaningful comparisons of poverty over time. Because diets and consumption baskets change over time, countries periodically recalculate the poverty line based on new survey data. In such cases the new poverty lines should be deflated to obtain comparable poverty estimates from earlier years. 

This series only includes estimates that to the best of our knowledge are reasonably comparable over time for a country. For economies for which the data are from EU-SILC, the reported year is the income reference year, which is the year before the survey year. For all other economies, the year reported is the year in which the underlying household survey data were collected or, when the data collection period bridged two calendar years, the year in which data collection started.",The poverty rate as defined by national poverty lines reflects the share of the population that fails to meet the standard a country thinks is necessarty to cover basic needs.,,"This series only includes estimates that to the best of our knowledge are reasonably comparable over time for a country. Due to differences in estimation methodologies and poverty lines, estimates should not be compared across countries.",,"World Bank, Poverty and Inequality Platform: https://pip.worldbank.org/",,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.DURS,CC BY-4.0,"Primary education, duration (years)",,Primary duration refers to the number of grades (years) in primary school.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of June 2022.,Education: Outcomes,,Annual,,Median,"Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Aggregate data are based on World Bank estimates.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",,,"For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2023 (July 1, 2022-June 30, 2023).",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.SEC.DURS,CC BY-4.0,"Secondary education, duration (years)",,Secondary duration refers to the number of grades (years) in secondary school.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of June 2022.,Education: Outcomes,,Annual,,Median,"Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Aggregate data are based on World Bank estimates.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",,,"For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2023 (July 1, 2022-June 30, 2023).",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.LGL.CRED.XQ,CC BY-4.0,Strength of legal rights index (0=weak to 12=strong),,"Strength of legal rights index measures the degree to which collateral and bankruptcy laws protect the rights of borrowers and lenders and thus facilitate lending. The index ranges from 0 to 12, with higher scores indicating that these laws are better designed to expand access to credit.","World Bank, Doing Business project (http://www.doingbusiness.org/). NOTE: Doing Business has been discontinued as of 9/16/2021. For more information: https://bit.ly/3CLCbme",Private Sector & Trade: Business environment,,Annual,,Unweighted average,"Data are collected by the World Bank with a standardized survey that uses a simple business case to ensure comparability across economies and over time - with assumptions about the legal form of the business, its size, its location, and nature of its operation. Surveys are administered through more than 9,000 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials, and other professionals who routinely administer or advise on legal and regulatory requirements.

The Doing Business project of the World Bank encompasses two types of data: data from readings of laws and regulations and data on time and motion indicators that measure efficiency in achieving a regulatory goal. Within the time and motion indicators cost estimates are recorded from official fee schedules where applicable. The data from surveys are subjected to numerous tests for robustness, which lead to revision or expansion of the information collected. Data starting in 2013 reflect the DB15-17 methodology change. For more information on methodology, see http://www.doingbusiness.org/Methodology/getting-credit#legalRights.","Access to finance can expand opportunities for all with higher levels of access and use of banking services associated with lower financing obstacles for people and businesses. A stable financial system that promotes efficient savings and investment is also crucial for a thriving democracy and market economy.

There are several aspects of access to financial services: availability, cost, and quality of services. The development and growth of credit markets depend on access to timely, reliable, and accurate data on borrowers' credit experiences. Access to credit can be improved by making it easy to create and enforce collateral agreements and by increasing information about potential borrowers' creditworthiness. Lenders look at a borrower's credit history and collateral. Where credit registries and effective collateral laws are absent - as in many developing countries - banks make fewer loans. Indicators that cover getting credit include the strength of legal rights index and the depth of credit information index.

The economic health of a country is measured not only in macroeconomic terms but also by other factors that shape daily economic activity such as laws, regulations, and institutional arrangements. The data measure business regulation, gauge regulatory outcomes, and measure the extent of legal protection of property, the flexibility of employment regulation, and the tax burden on businesses.

The fundamental premise of this data is that economic activity requires good rules and regulations that are efficient, accessible to all who need to use them, and simple to implement. Thus sometimes there is more emphasis on more regulation, such as stricter disclosure requirements in related-party transactions, and other times emphasis is on for simplified regulations, such as a one-stop shop for completing business startup formalities.

Entrepreneurs may not be aware of all required procedures or may avoid legally required procedures altogether. But where regulation is particularly onerous, levels of informality are higher, which comes at a cost: firms in the informal sector usually grow more slowly, have less access to credit, and employ fewer workers - and those workers remain outside the protections of labor law. The indicator can help policymakers understand the business environment in a country and - along with information from other sources such as the World Bank's Enterprise Surveys - provide insights into potential areas of reform.","The Doing Business methodology has limitations that should be considered when interpreting the data. First, the data collected refer to businesses in the economy's largest city and may not represent regulations in other locations of the economy. To address this limitation, subnational indicators are being collected for selected economies. These subnational studies point to significant differences in the speed of reform and the ease of doing business across cities in the same economy. Second, the data often focus on a specific business form - generally a limited liability company of a specified size - and may not represent regulation for other types of businesses such as sole proprietorships. Third, transactions described in a standardized business case refer to a specific set of issues and may not represent the full set of issues a business encounters. Fourth, the time measures involve an element of judgment by the expert respondents. When sources indicate different estimates, the Doing Business time indicators represent the median values of several responses given under the assumptions of the standardized case. Fifth, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures.",Data are presented for the survey year instead of publication year.,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
EN.ATM.GHGT.KT.CE,Attribution-NonCommercial 4.0 International (CC BY-NC 4.0),Total greenhouse gas emissions (kt of CO2 equivalent),,"Total greenhouse gas emissions in kt of CO2 equivalent are composed of CO2 totals excluding short-cycle biomass burning (such as agricultural waste burning and savanna burning) but including other biomass burning (such as forest fires, post-burn decay, peat fires and decay of drained peatlands), all anthropogenic CH4 sources, N2O sources and F-gases (HFCs, PFCs and SF6).","Climate Watch. 2020. GHG Emissions. Washington, DC: World Resources Institute. Available at: https://www.climatewatchdata.org/ghg-emissions.",Environment: Emissions,,Annual,,Sum,"The GHG totals are expressed in CO2 equivalent using the GWP100 metric of the Second Assessment Report of IPCC and include CO2 (GWP100=1), CH4 (GWP100=21), N2O (GWP100=310) and F-gases (c-C4F8 GWP=8700, C2F6 GWP=9200, C3F8 GWP=7000, C4F10 GWP=7000, C5F12 GWP=7500, C6F14 GWP=7400, C7F16 GWP=7820, CF4 GWP=6500, HFC-125 GWP=2800, HFC-134a GWP=1300, HFC-143a GWP=3800, HFC-152a GWP=140, HFC-227ea GWP=2900, HFC-23 GWP=11700, HFC-236fa GWP=6300, HFC-245fa GWP=858, HFC-32 GWP=650, HFC-365mfc GWP=804, HFC-43-10-mee GWP=1300, SF6 GWP=23900).","The addition of man-made greenhouse gases to the Atmosphere disturbs the earth's radiative balance. This is leading to an increase in the earth's surface temperature and to related effects on climate, sea level rise and world agriculture. Emissions of CO2 are from burning oil, coal and gas for energy use, burning wood and waste materials, and from industrial processes such as cement production. Emission intensity is the average emission rate of a given pollutant from a given source relative to the intensity of a specific activity. Emission intensities are also used to compare the environmental impact of different fuels or activities. The related terms - emission factor and carbon intensity - are often used interchangeably.

The carbon dioxide emissions of a country are only an indicator of one greenhouse gas. For a more complete idea of how a country influences climate change, gases such as methane and nitrous oxide should be taken into account. This is particularly important in agricultural economies.

The environmental effects of carbon dioxide are of significant interest. Carbon dioxide (CO2) makes up the largest share of the greenhouse gases contributing to global warming and climate change. Converting all other greenhouse gases (methane (CH4), nitrous oxide (N2O), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), Sulphur hexafluoride (SF6)) to carbon dioxide (or CO2) equivalents makes it possible to compare them and to determine their individual and total contributions to global warming. The Kyoto Protocol, an environmental agreement adopted in 1997 by many of the parties to the United Nations Framework Convention on Climate Change (UNFCCC), is working towards curbing CO2 emissions globally.","National reporting to the United Nations Framework Convention on Climate Change that follows the Intergovernmental Panel on Climate Change guidelines is based on national emission inventories and covers all sources of anthropogenic carbon dioxide emissions as well as carbon sinks (such as forests). To estimate emissions, the countries that are Parties to the Climate Change Convention (UNFCCC) use complex, state-of-the-art methodologies recommended by the Intergovernmental Panel on Climate Change (IPCC).",,,,,https://creativecommons.org/licenses/by-nc/4.0/
NE.TRD.GNFS.ZS,CC BY-4.0,Trade (% of GDP),,Trade is the sum of exports and imports of goods and services measured as a share of gross domestic product.,"World Bank national accounts data, and OECD National Accounts data files.",Economic Policy & Debt: National accounts: Shares of GDP & other,,Annual,,Weighted average,,,,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SL.UEM.TOTL.NE.ZS,CC BY-4.0,"Unemployment, total (% of total labor force) (national estimate)",,Unemployment refers to the share of the labor force that is without work but available for and seeking employment. Definitions of labor force and unemployment differ by country.,"International Labour Organization, ILOSTAT database. Data as of June 2022.",Social Protection & Labor: Unemployment,,Annual,,Weighted Average,"The standard definition of unemployed persons is those individuals without work, seeking work in a recent past period, and currently available for work, including people who have lost their jobs or who have voluntarily left work. Persons who did not look for work but have an arrangements for a future job are also counted as unemployed. 

Some unemployment is unavoidable. At any time some workers are temporarily unemployed between jobs as employers look for the right workers and workers search for better jobs. It is the labour force or the economically active portion of the population that serves as the base for this indicator, not the total population.","Paradoxically, low unemployment rates can disguise substantial poverty in a country, while high unemployment rates can occur in countries with a high level of economic development and low rates of poverty. In countries without unemployment or welfare benefits people eke out a living in vulnerable employment. In countries with well-developed safety nets workers can afford to wait for suitable or desirable jobs. But high and sustained unemployment indicates serious inefficiencies in resource allocation.

Youth unemployment is an important policy issue for many economies. Young men and women today face increasing uncertainty in their hopes of undergoing a satisfactory transition in the labour market, and this uncertainty and disillusionment can, in turn, have damaging effects on individuals, communities, economies and society at large. Unemployed or underemployed youth are less able to contribute effectively to national development and have fewer opportunities to exercise their rights as citizens. They have less to spend as consumers, less to invest as savers and often have no "voice" to bring about change in their lives and communities. Widespread youth unemployment and underemployment also prevents companies and countries from innovating and developing competitive advantages based on human capital investment, thus undermining future prospects.

Unemployment is a key measure to monitor whether a country is on track to achieve the Sustainable Development Goal of promoting sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all. [SDG Indicator 8.5.2]","The criteria for people considered to be seeking work, and the treatment of people temporarily laid off or seeking work for the first time, vary across countries. In many cases it is especially difficult to measure employment and unemployment in agriculture. The timing of a survey can maximize the effects of seasonal unemployment in agriculture. And informal sector employment is difficult to quantify where informal activities are not tracked.

There may be also persons not currently in the labour market who want to work but do not actively "seek" work because they view job opportunities as limited, or because they have restricted labour mobility, or face discrimination, or structural, social or cultural barriers. The exclusion of people who want to work but are not seeking work (often called the "hidden unemployed" or "discouraged workers") is a criterion that will affect the unemployment count of both women and men. 

However, women tend to be excluded from the count for various reasons. Women suffer more from discrimination and from structural, social, and cultural barriers that impede them from seeking work. Also, women are often responsible for the care of children and the elderly and for household affairs. They may not be available for work during the short reference period, as they need to make arrangements before starting work. Further, women are considered to be employed when they are working part-time or in temporary jobs, despite the instability of these jobs or their active search for more secure employment.",The series for ILO estimates is also available in the WDI database. Caution should be used when comparing ILO estimates with national estimates.,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
