Country Name,Year,Bribery incidence (% of firms experiencing at least one bribe payment request) [IC.FRM.BRIB.ZS],"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high) [IQ.CPA.TRAN.XQ]","Intentional homicides (per 100,000 people) [VC.IHR.PSRC.P5]",CPIA property rights and rule-based governance rating (1=low to 6=high) [IQ.CPA.PROP.XQ],Strength of legal rights index (0=weak to 12=strong) [IC.LGL.CRED.XQ],Human capital index (HCI) (scale 0-1) [HD.HCI.OVRL],Gini index [SI.POV.GINI],Adjusted net national income per capita (annual % growth) [NY.ADJ.NNTY.PC.KD.ZG],"Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]","Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS]",Consumer price index (2010 = 100) [FP.CPI.TOTL],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",New businesses registered (number) [IC.BUS.NREG],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",CO2 emissions (kg per PPP $ of GDP) [EN.ATM.CO2E.PP.GD],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Total greenhouse gas emissions (kt of CO2 equivalent) [EN.ATM.GHGT.KT.CE],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Military expenditure (% of general government expenditure) [MS.MIL.XPND.ZS],"Government expenditure on education, total (% of government expenditure) [SE.XPD.TOTL.GB.ZS]","Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Compulsory education, duration (years) [SE.COM.DURS]",Lending interest rate (%) [FR.INR.LEND],Trade (% of GDP) [NE.TRD.GNFS.ZS],Net migration [SM.POP.NETM],International migrant stock (% of population) [SM.POP.TOTL.ZS],"International migrant stock, total [SM.POP.TOTL]","Personal remittances, paid (current US$) [BM.TRF.PWKR.CD.DT]","Personal remittances, received (current US$) [BX.TRF.PWKR.CD.DT]","Personal remittances, received (% of GDP) [BX.TRF.PWKR.DT.GD.ZS]",Population density (people per sq. km of land area) [EN.POP.DNST],Population growth (annual %) [SP.POP.GROW],"Population, total [SP.POP.TOTL]",Poverty headcount ratio at national poverty lines (% of population) [SI.POV.NAHC],"Secondary education, duration (years) [SE.SEC.DURS]","Primary education, duration (years) [SE.PRM.DURS]","Internally displaced persons, new displacement associated with conflict and violence (number of cases) [VC.IDP.NWCV]","Internally displaced persons, total displaced by conflict and violence (number of people) [VC.IDP.TOCV]","Internally displaced persons, new displacement associated with disasters (number of cases) [VC.IDP.NWDS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Lifetime risk of maternal death (%) [SH.MMR.RISK.ZS],"Maternal mortality ratio (national estimate, per 100,000 live births) [SH.STA.MMRT.NE]","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population) [SH.STA.WASH.P5]"
Afghanistan,2006,..,2.5,..,1.5,..,..,..,..,..,..,76.43870301,6.78459655,..,5.357403251,263.7336019,2.253310644,1078.90737,0.0617136306,0.06658329091,16739.99977,1.896233996,10.36038171,12.88000011,2.900000095,6,17.97,..,..,..,..,..,0,0,40.52720359,2.990523836,26433058,..,6,6,..,..,..,58.826,7.581440089,..,..
Afghanistan,2007,..,2,..,1.5,..,..,..,..,..,..,83.07401873,8.680570785,..,13.82631955,359.6931579,11.02278717,1230.20479,0.05309062909,0.06531234619,17139.99939,2.566267352,11.94840462,12.35999966,2.849999905,6,18.135,..,-1046361,..,..,..,0,0,41.55059105,2.493830391,27100542,33.7,6,6,..,..,..,59.375,7.268972909,..,..
Afghanistan,2008,36.7,2,..,1.5,..,..,..,..,2.49000001,4.050000191,105.0210647,26.41866415,..,3.924983822,364.663542,1.594215458,1273.787555,0.1008147386,0.1284165593,20540.00092,2.335545702,11.16540879,16.64999962,3.50999999,9,14.9175,..,..,..,..,216603835.9,89540435.95,0.8857229486,42.5038422,2.268273041,27722281,..,6,6,..,..,3400,59.93,6.827596655,..,..
Afghanistan,2009,..,2,3.926774495,1.5,..,..,..,..,..,..,97.86791084,-6.811161089,3653,21.39052839,437.2687402,18.51541929,1519.310737,0.1131186776,0.1718624214,22629.99916,2.087412553,9.860389375,17.30999947,3.730000019,9,15,..,..,..,..,624996676.8,140695166.3,1.133161577,43.53495853,2.396978302,28394806,..,6,6,..,297000,28000,60.484,6.443580574,..,..
Afghanistan,2010,..,2,3.368109608,1.5,..,..,..,..,..,..,100,2.178537524,4759,14.36244147,543.3065262,11.26409057,1710.762928,0.1424008156,0.2436140362,27120.00084,1.945835694,9.354596133,17.0675602,3.479449987,9,15.61222222,..,..,0.3656578324,102246,788698416.8,378206657,2.385156858,44.7472686,2.746614638,29185511,..,6,6,102000,352000,71000,61.028,6.039311292,700,..
Afghanistan,2011,..,2,4.087336724,1.5,..,..,..,..,..,..,111.8041858,11.80418581,3745,0.4263547845,591.1900302,-2.681061056,1699.48811,0.1744679698,0.2965062404,29409.99985,1.821345454,8.302760046,16.04842949,3.462009907,9,15.14583333,..,..,..,..,454083462,179116561.4,1.005983844,46.17605906,3.143105557,30117411,38.3,6,6,186000,450000,3000,61.553,5.520806394,..,..
Afghanistan,2012,..,2,6.251328167,1.5,..,..,..,..,1.690000057,2.930000067,119.0057313,6.441212809,3557,12.75228709,638.8458516,8.974865343,1914.774228,0.1354182286,0.2592953342,28799.99924,1.17541612,4.696372865,14.61999989,3.319999933,9,15,..,521769,..,..,323642538.3,219416087.5,1.102188139,47.77667081,3.407600033,31161378,..,6,6,100000,492000,30000,62.054,5.023027195,..,..
Afghanistan,2013,..,2,..,1.5,9,..,..,..,..,..,127.7952231,7.385771784,3191,5.600744658,624.3154545,1.97416569,2015.514775,0.0920973948,0.1856236599,27020.00046,1.076949768,4.311764354,14.10280037,3.454459906,9,15.07916667,..,..,..,..,444730790.5,347165291.8,1.723212116,49.47578615,3.494591927,32269592,..,6,6,124000,631000,15000,62.525,4.538151174,..,..
Afghanistan,2014,46.8,2,..,1.5,9,..,..,..,7.909999847,9.960000038,133.7683667,4.673996035,2466,2.724543364,614.2233424,-0.6652910508,2069.424022,0.07066488816,0.1462356171,26760.00023,1.298012878,5.10979266,14.46592999,3.695219994,9,15,..,..,..,..,524163478.5,253367821.6,1.236113844,51.16416602,3.355602331,33370804,..,6,6,156000,805000,13000,62.966,4.216703814,..,..
Afghanistan,2015,..,2,9.783921782,1.5,9,..,..,..,..,..,132.8832092,-0.6617091647,2255,1.45131466,556.0072209,-1.622857186,2087.305323,0.082832511,0.1728967411,27090.00015,0.9945758227,3.833142187,12.50899982,3.255800009,9,15,..,..,1.175546927,382365,228991809.2,348624717.3,1.821996754,52.76298698,3.077053629,34413603,..,6,6,335000,1174000,71000,63.377,3.60912555,..,..
Afghanistan,2016,..,2,6.551163456,2,9,..,..,..,..,..,138.7086655,4.383891955,2448,2.260314201,512.0127781,-0.541416196,1981.118069,0.07560848399,0.1497893338,26889.99939,0.956772141,3.680251052,13.0909996,3.511980057,9,15,..,..,..,..,167894464.3,627710802.4,3.464844965,54.24931083,2.778034788,35383028,54.5,6,6,653000,1553000,7400,63.763,3.330913861,1194,13.9
Afghanistan,2017,..,2,6.678401441,2,9,0.389,..,..,11.18000031,17.56999969,145.6107414,4.975951506,3022,2.647003202,516.6798622,0.06476419501,2058.400221,0.06397908157,0.1316945556,26530.00069,0.9452267999,3.65259209,12.03320026,3.373310089,9,14.83666667,..,-314602,..,..,143979106.2,822731630.2,4.38709021,55.64925103,2.54783304,36296111,..,6,6,474000,1286000,27000,64.13,3.063593252,..,..
Afghanistan,2018,..,2,6.655561152,2,10,0.3934892416,..,..,..,..,146.5224819,0.6261491492,4274,1.189228128,485.6684187,-1.194900383,2082.392197,0.07841716881,0.1632953005,27690.00053,1.006746292,3.724855275,11.69606018,3.199790001,9,..,..,..,..,..,234618700.6,803546453.8,4.450984766,56.99204575,2.384309079,37171922,..,6,6,372000,2598000,435000,64.486,..,..,..
Afghanistan,2019,..,2,..,2,10,..,..,..,..,..,149.8959752,2.302372515,..,3.911603419,494.1793499,1.535636674,2152.190243,0.07426126597,0.159824372,28639.99939,1.118230603,4.275736197,11.34377003,3.213779926,9,..,..,..,..,..,217292318,828571904.1,4.407426129,58.32567806,2.313073349,38041757,..,6,6,461000,2993000,117000,64.833,..,..,..
Afghanistan,2020,..,2,..,2,..,0.4002841413,..,..,11.71000004,16.20000076,..,..,..,-2.351100673,516.7478708,-4.575031864,2078.479082,..,..,..,1.369684411,4.489663071,10.25386047,..,9,..,..,..,..,..,225420606.5,788917115.2,3.921812138,59.68498996,2.303812093,38928341,..,6,6,404000,3547000,46000,65.173,..,..,..
Afghanistan,2021,..,..,..,..,..,..,..,..,5.579999924,8.710000038,..,..,..,..,..,..,..,..,..,..,..,..,10.88010979,..,9,..,..,..,..,..,..,..,..,..,2.303412133,39835428,..,6,6,723000,4314000,25000,..,..,..,..
Albania,1995,..,..,8.320154402,..,..,..,..,..,12.89999962,..,40.75429437,7.793218538,..,13.32233332,750.6044492,14.02449593,2666.042365,0.22709176,0.6054362529,7369.999886,2.053587359,..,..,3.814640045,..,19.65,47.61059487,..,2.296757971,71354,..,427300000,17.85800219,116.3424818,-0.6177036584,3187784,..,8,4,..,..,..,72.205,..,13,..
Albania,1996,..,..,8.777877425,..,..,..,27,..,12.30000019,..,45.94047306,12.72547781,..,9.099999436,1009.977275,9.780179879,2980.374617,0.2054665729,0.6123673585,7090.000153,1.379029627,..,..,3.083509922,..,23.95833333,44.89544472,..,..,..,..,550900000,17.21755479,115.6216423,-0.621511399,3168033,..,8,4,..,..,..,72.495,..,13,..
Albania,1997,..,..,43.03577034,..,..,..,..,..,14.89999962,..,61.18364806,33.18027438,..,-10.91998408,717.3800477,-10.36110497,2717.644348,0.1718111028,0.4669214724,6349.999905,1.28308078,..,11.15338993,3.37947011,..,32.70833333,45.42555625,-179606,..,..,..,300300000,13.29635342,114.9007664,-0.6254300969,3148281,..,8,4,..,..,..,72.838,..,10,..
Albania,1998,..,..,21.21709622,..,..,..,..,6.313650126,17.70000076,..,73.81370218,20.64285887,..,8.829423758,813.7893966,9.516484438,3021.041577,0.1893895468,0.5721536952,6599.999905,1.238242561,..,9.624070168,3.536979914,8,..,48.13753482,..,..,..,..,504140000,19.80153266,114.179927,-0.6293343925,3128530,..,8,4,..,..,..,73.208,..,14,..
Albania,1999,..,..,17.03653889,..,..,..,..,15.71084027,18.39999962,..,74.10116053,0.3894376536,..,12.89080364,1033.242532,13.60806912,3471.661509,0.2751879197,0.9553593084,7820.000172,1.249210099,..,9.682459831,3.592930079,8,21.615,51.01103036,..,..,..,..,407200000,12.6769794,113.4590511,-0.633352274,3108778,..,8,4,..,..,..,73.587,..,4,..
Albania,2000,..,..,4.186311974,..,..,..,..,11.96894267,16.79999924,..,74.13822455,0.05001813635,..,6.946216592,1126.68334,7.630022439,3860.804627,0.265802911,1.026213109,8140.000343,1.246360242,..,10.13702965,3.430170059,8,22.1025,63.45407313,..,2.456625875,76695,..,597800000,17.17640745,112.7382117,-0.6373568339,3089027,..,8,4,..,..,..,73.955,0.05047216367,16,..
Albania,2001,..,..,7.029425495,..,..,..,..,10.97823018,16.39999962,..,76.44213532,3.10758827,..,8.293312631,1281.659826,9.314397139,4299.546493,0.2454900497,1.055495882,8109.999657,1.309291375,..,10.58193016,3.458699942,8,19.65416667,66.49102403,..,..,..,..,699300000,17.82973046,111.685146,-0.9384704277,3060173,..,8,4,..,..,..,74.288,0.04692705396,4,..
Albania,2002,..,..,6.909384383,..,..,..,31.7,3.606429264,15.80000019,..,82.3820912,7.770525834,..,4.53652416,1425.124219,4.850475334,4661.402695,0.2643793861,1.232378783,8750,1.320034494,..,9.886919975,3.117799997,8,15.30416667,68.52506822,-176774,..,..,..,733570000,16.87117035,111.3507299,-0.2998766971,3051010,25.4,8,4,..,..,..,74.579,0.04213836836,9,..
Albania,2003,..,..,5.323896566,..,..,..,..,5.573805691,15,..,82.78082267,0.4840026118,..,5.528637465,1846.120121,5.924211542,5000.049363,0.2677943523,1.338984981,9090.000153,1.336842924,..,10.57359982,3.138230085,8,14.27083333,67.02056104,..,..,..,4135728.07,888748582.3,15.83799653,110.9348905,-0.3741491693,3039616,..,8,4,..,..,..,74.828,0.03905872722,2,..
Albania,2004,..,..,4.219147004,..,..,..,..,6.454590182,14.39999962,..,84.6682413,2.280019169,..,5.514667911,2373.581292,5.956569596,5427.732662,0.2586823587,1.404058688,9159.999847,1.381157942,..,10.70316029,3.227519989,8,11.76152183,67.04718731,..,..,..,4863740.36,1160672105,16.15480677,110.4722263,-0.4179313779,3026939,..,8,4,..,..,..,75.039,0.03170390343,2,..
Albania,2005,..,3,4.988969195,3,..,..,30.6,4.315622674,14.10000038,..,86.67198462,2.366581957,..,5.526424247,2673.786584,6.067882439,5865.301904,0.2281569511,1.338209399,8949.999809,1.350004971,4.734375202,11.35797024,3.281549931,8,13.075,70.87234678,..,2.100434369,64739,6511798.046,1289704316,16.01704592,109.9082847,-0.5117901164,3011487,18.5,8,4,..,..,..,75.228,0.03717277516,15,..
Albania,2006,..,2.5,3.101513179,3,..,..,..,7.773252424,13.80000019,..,88.7267419,2.370728319,1671,5.902659036,2972.742924,6.572922982,6566.572828,0.2040631809,1.339995739,8850.000381,1.567769089,5.428988625,10.93295002,3.191459894,8,12.93994286,74.26709024,..,..,..,26532132.03,1359467325,15.28165672,109.2170438,-0.6309112449,2992547,..,8,4,..,..,..,75.423,0.02990660051,..,..
Albania,2007,26.5,..,3.460785836,..,..,..,..,4.453431565,15.97000027,26.57999992,91.32881552,2.932682482,2094,5.983259519,3595.038057,6.787228936,7283.342638,0.1913862137,1.39393137,8859.999657,1.820765344,6.226081057,11.17718983,3.275929928,8,14.09962279,83.20208011,-217358,..,..,9940000,1468020000,13.74895039,108.394781,-0.7557187554,2970017,..,8,4,..,..,..,75.646,0.03027059081,..,..
Albania,2008,..,..,3.097230044,..,..,..,30,7.339007145,13.06000042,27.05999947,94.36172758,3.320870904,2891,7.50004143,4370.539925,8.328108423,8228.348041,0.1682368371,1.384311249,8600.000381,1.984868857,6.256197865,..,..,8,13.01964271,77.4517515,..,..,..,279685288.7,1865581564,14.48280697,107.5662044,-0.7673429591,2947314,12.4,8,4,..,..,..,75.912,0.0310654795,..,..
Albania,2009,..,..,2.859022604,..,..,..,..,1.211302956,13.67000008,26.97999954,96.50083443,2.266922095,2217,3.35428935,4114.134899,4.053139864,8813.029461,0.1635639105,1.441493562,8640.000343,1.51721714,4.642727214,..,..,8,12.66093515,75.0949144,..,..,..,229819782.3,1717698012,14.26161023,106.8437591,-0.6738940465,2927519,..,7,5,..,..,150,76.221,0.03223451131,..,..
Albania,2010,..,..,4.307963049,..,..,0.5436029434,..,5.661191944,14.09000015,30.5,100,3.626046956,2166,3.706938153,4094.348386,4.223083827,9628.721962,0.1586527962,1.527623663,8899.999619,1.558591893,5.303741525,..,..,8,12.82232989,76.54339024,..,1.818956864,52784,209306821.6,1586574271,13.30246111,106.314635,-0.4964619634,2913021,..,7,5,..,..,..,76.562,0.03387596587,..,..
Albania,2011,..,..,4.848731527,..,..,..,..,0.5007021459,13.47999954,22.65999985,103.4291232,3.429123247,1891,2.545406145,4437.142612,2.821642455,10207.76757,0.1635443968,1.66942319,9329.999924,1.528266338,5.283864502,12.84000015,3.079999924,8,12.4320986,81.21856893,..,..,..,150855105.3,1552078514,12.04023633,106.0290146,-0.2690173318,2905195,..,7,5,..,..,..,76.914,0.03612377604,..,..
Albania,2012,..,..,5.387614869,..,..,..,29,-0.7038607882,13.38000011,29.25,105.5303817,2.031592684,1877,1.4172428,4247.630047,1.584872815,10526.25918,0.1428086117,1.50324046,8880.000114,1.487082577,5.267900096,13.60999966,2.930000067,9,10.88034654,76.51020062,-136590,..,..,215775643.9,1419772515,11.52428617,105.8540511,-0.1651510401,2900401,14.3,7,5,..,..,..,77.252,0.02879937954,..,..
Albania,2013,20.4,..,4.270284194,..,7,..,..,2.860410034,15.86999989,31.23999977,107.5751604,1.937620802,2105,1.002017541,4413.062005,1.187234353,10570.96373,0.1450794911,1.533630039,8930.000305,1.408982101,4.826485536,12.12390995,3.539299965,9,9.826604344,75.87371385,..,..,..,190551293.6,1281848114,10.03307757,105.660292,-0.1832113846,2895092,..,7,5,..,..,450,77.554,0.02763430089,..,..
Albania,2014,..,..,4.039627015,..,6,..,34.6,0.8563702632,18.04999924,39.86999893,109.3241873,1.625865044,2271,1.774448853,4578.633208,1.985388092,11259.26751,0.1481745921,1.668337371,9359.999657,1.346515991,4.243784983,12.73999977,3.049999952,9,7.9725,75.4078456,..,..,..,178722842.2,1421007454,10.74230124,105.4417518,-0.2070469998,2889104,..,7,5,..,..,24,77.813,0.02841559662,..,..
Albania,2015,..,..,2.214131417,..,6,..,32.8,0.3670325249,17.19000053,39.97999954,113.1518549,3.501208355,2610,2.218726375,3952.802538,2.516827054,11658.90552,0.1375579507,1.60377515,9220.000267,1.162303864,3.826274162,11.17755032,3.437969923,9,7.8775,71.80100634,..,1.98903641,57616,153312400.5,1290863508,11.33644066,105.135146,-0.2912057868,2880703,..,7,5,..,..,4200,78.025,0.02629915024,..,..
Albania,2016,..,..,2.73694779,..,6,..,33.7,3.301675545,15.42000008,36.61000061,112.7362286,-0.3673172098,2721,3.314980684,4124.05539,3.480293217,12078.84314,0.128958075,1.557664358,9090.000153,1.103581009,3.78723434,13.59696007,3.962090015,9,6.734166667,74.80986282,..,..,..,147156757.4,1306009167,11.01076776,104.9671898,-0.1598804121,2876101,23.7,7,5,..,..,3100,78.194,0.02718705815,..,0.2
Albania,2017,..,..,2.010977859,..,8,0.621,33.1,2.248740692,13.61999989,31.61000061,115.0592696,2.060598459,3014,3.8022274,4531.019374,3.897740606,12770.96429,0.1400666413,1.788786074,9659.999847,1.108696386,3.8051811,12.39080048,3.611730099,9,6.22,78.194274,-69998,..,..,106330982.9,1311822432,10.07568152,104.8706934,-0.09197229374,2873457,23.4,7,5,..,..,3500,78.333,0.02628567055,..,..
Albania,2018,..,..,2.289492444,..,8,0.6286662817,30.1,3.964205639,12.30000019,28.12999916,117.3927402,2.028059631,3259,4.019359685,5287.663694,4.276325654,13498.13817,0.1320729515,1.782738948,9449.999809,1.16126613,4.029426801,..,..,9,5.9325,76.80811813,..,..,..,114879336.9,1458210056,9.621064021,104.6122628,-0.2467320423,2866376,23,7,5,..,..,110,78.458,..,..,..
Albania,2019,36.1,..,2.256229188,..,8,..,30.8,0.9511770236,11.47000027,26.97999954,119.0492584,1.41109079,3189,2.088063376,5396.215864,2.523893723,13999.42397,0.1208798536,1.69224832,9010.000229,1.291087114,4.394066894,13.43000031,3.916650057,9,6.275833333,76.27919462,..,..,..,119679640.8,1472812242,9.562579054,104.1675547,-0.426007367,2854191,21.8,7,5,..,..,33000,78.573,..,..,..
Albania,2020,..,..,2.119674752,..,..,0.6342509389,..,..,..,..,120.9789119,1.620886617,2945,-3.481630373,5332.160475,-2.925820957,13632.18654,..,..,..,1.535464713,4.668107237,12.06999969,3.099999905,9,6.120833333,59.95174948,..,..,..,124630375.7,1465987212,9.688079357,103.5711314,-0.5742069592,2837849,..,7,5,..,..,..,78.686,..,..,..
Albania,2021,..,..,..,..,..,..,..,..,..,..,123.448662,2.041471631,..,8.544083251,6494.385713,9.554875334,15646.04152,..,..,..,..,..,..,..,..,6.021666667,74.51829208,..,..,..,..,..,..,..,-0.9269180616,2811666,..,7,5,..,..,250,..,..,..,..
Algeria,1995,..,..,..,..,..,..,35.3,-1.645140651,31.84000015,..,51.93108535,29.77962649,..,3.79999479,1452.278434,1.836410561,7075.068545,0.3756942505,2.658062574,143250,2.935027107,9.98956008,..,..,..,18.41666667,55.19100521,..,0.9065502365,262032,..,1120000000,2.681715218,12.07427679,1.909821277,28757788,22.6,6,6,..,..,..,68.54,..,..,..
Algeria,1996,..,..,..,..,..,..,..,-1.099359155,..,..,61.63133217,18.67907586,..,4.09999847,1603.940302,2.290823348,7369.655682,0.3529247009,2.600933527,146300.0031,3.094088396,10.97405635,..,..,..,19,53.70514788,..,..,..,..,880000000,1.874670501,12.28782949,1.753199533,29266415,..,6,6,..,..,..,68.919,..,..,..
Algeria,1997,..,..,..,..,..,..,..,1.767046301,25.43000031,..,65.16497863,5.733522754,..,1.099999939,1619.797749,-0.5199023526,7457.764603,0.3355481654,2.502439231,146240.0055,3.637403468,11.9647987,..,..,..,15.70833333,52.24391151,-164413,..,..,..,1060000000,2.200192071,12.4879206,1.615252491,29742980,..,6,6,..,..,..,69.323,..,..,..
Algeria,1998,..,..,..,..,..,..,..,2.491091637,..,..,68.3907504,4.950161638,..,5.100003609,1596.003926,3.534368527,7808.255833,0.3166453442,2.472447856,148500,3.965673788,12.81751755,..,..,10,11.5,45.09445056,..,..,..,..,1060000000,2.199729297,12.67676153,1.500869157,30192750,..,6,6,..,..,..,69.745,..,..,..
Algeria,1999,..,..,..,..,..,..,..,-0.8591627162,..,..,70.20003532,2.645511134,..,3.200001552,1588.348908,1.74870316,8056.75976,0.3141548948,2.531070515,153949.9969,3.755079983,11.75622631,..,..,10,10.75,50.92910934,..,..,..,..,790000000,1.624155811,12.85757723,1.41627892,30623406,..,6,6,..,..,..,70.183,..,..,..
